idhogar,Monto_Alquiler,Promedio_Anos_Escolaridad,Pared_Zocalo,Pared_Prefabricado,Pared_Madera,Piso_Cemento,Piso_Madera,Techo_Zinc,Electricidad_Cooperativa,Inodoro_Alcantarillado,Inodoro_Septico,Inodoro_Letrina,Basura_Camion,Pared_Mala,Pared_Regular,Techo_Malo,Techo_Regular,Piso_Malo,Piso_Regular,Tiene_Discapacitado,Proporcion_Mujeres,Jefe_Viudo,Jefe_Soltero,Cant_Ninos,Cant_Adultos,Cant_Adultos_Mayores,Promedio_Educ_Adultos,Sin_Educacion,Educ_Tecnica_Incompleta,Educ_Tecnica_Completa,Educ_Postgrado,Total_Dormitorios,Personas_por_Cuarto,Casa_Propia_Pagando,Casa_Precario,Casa_Prestada_Asignada,Region_Central,Region_Chorotega,Region_Pacifico_Central,Region_Brunca,Region_Huetar_Atlantica,Zona_Urbana,Edad_Promedio,Hogar_con_Rezago_Escolar,Hogar_sin_Jefe_Educado,Tasa_Dependencia,Target,Indice_Activos_Tech,Privacion_Servicios_Basicos,Calidad_Materiales_Vivienda,Hacinamiento_Severo
001ff74ca,-0.4581085725612524,0.15892877335777283,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.8244932752398302,0,0,0.02627860414338047,-1.2194837305374338,-0.5141079362108072,1.6583976729076233,1,0,0,0,1.5059930958304362,-1.1801121178561513,0,0,0,0,0,0,1,0,0,-1.1216595202039232,0,0,-0.14843559633954106,0,-0.5243081640667403,1.5441919358326328,-0.896855862737932,0
003123ec2,-0.4581085725612524,-1.192049480743365,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,-0.971273640259677,0,0,0.8923131906921408,-0.24554822086730216,-0.5141079362108072,-0.5843880616300721,1,0,0,0,-0.6253176258342354,0.8326809996592418,0,0,1,0,0,0,0,1,1,-1.4771918580540735,0,0,-0.14843559633954106,1,-0.5243081640667403,-0.4076039627578522,1.661295161949008,0
004616164,-0.4581085725612524,-0.12548770118983513,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,-1.9031959454261795,1,1,0.02627860414338047,-1.2194837305374338,-0.5141079362108072,-1.4106775427755387,0,0,0,0,0.4403377349981003,-0.9564684068221035,0,0,1,0,1,0,0,0,0,-0.3252670834195868,1,0,-0.14843559633954106,1,-0.5243081640667403,5.447783733013602,1.661295161949008,0
004983866,-0.4581085725612524,0.01672053608396885,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,-0.039351335093174664,1,1,0.02627860414338047,-1.2194837305374338,-0.5141079362108072,-0.2302639982820149,0,0,0,0,-0.6253176258342354,-0.5091810786843536,0,0,0,0,0,1,0,0,1,-0.06928380016747868,1,0,-0.14843559633954106,0,-0.5243081640667403,-0.4076039627578522,1.661295161949008,0
006b64543,-0.4581085725612524,-0.12548770118983513,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,-0.039351335093174664,0,1,-0.8397559824053796,-0.24554822086730216,-0.5141079362108072,-0.4663467071807197,0,0,0,0,-0.6253176258342354,-0.5091810786843536,0,0,0,0,0,0,1,0,1,0.2435846571406535,0,0,-0.6177364524159273,0,-0.5243081640667403,-0.4076039627578522,-0.896855862737932,0
00941f1f4,0.08691310081664305,-0.3388000571005411,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0.8925709700733278,0,1,-0.8397559824053796,1.7023227984729612,2.796569894388098,-0.6434087388547483,0,0,0,0,-0.6253176258342354,0.8326809996592418,0,0,0,0,0,0,1,0,1,1.2675177901490862,0,0,-0.14843559633954106,1,-1.5491442701928333,-0.4076039627578522,-0.896855862737932,0
00e3e05c5,-0.4581085725612524,-0.5995151587691818,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,-0.660632871870843,0,0,0.02627860414338047,-0.24554822086730216,-0.5141079362108072,-0.2302639982820149,1,0,0,0,-0.6253176258342354,0.16174996048744414,0,0,0,1,0,0,0,0,1,-0.8182719252384618,0,0,-0.3830860243777342,0,-0.5243081640667403,-0.4076039627578522,-0.896855862737932,0
00e443b00,1.776480288288119,1.8654276206434206,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,-1.9031959454261795,0,1,-0.8397559824053796,-1.2194837305374338,-0.5141079362108072,1.1862322551102136,0,0,0,0,-0.6253176258342354,-1.1801121178561513,0,0,0,1,0,0,0,0,1,0.07292913497258141,0,0,-0.6177364524159273,0,-1.0367262171297869,-0.4076039627578522,-0.896855862737932,0
00edc0d0f,-0.4581085725612524,0.4907479936633153,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,-0.039351335093174664,0,1,0.8923131906921408,1.7023227984729612,-0.5141079362108072,1.1272115778855374,1,0,0,0,0.4403377349981003,0.8326809996592418,0,0,0,1,0,0,0,0,1,-0.5812503666716949,0,0,-0.3830860243777342,0,1.5253640481854454,-0.4076039627578522,-0.896855862737932,0
013962b12,-0.4581085725612524,1.4388029088220087,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,-0.039351335093174664,0,0,-0.8397559824053796,-0.24554822086730216,-0.5141079362108072,0.8321081917621566,0,0,0,0,-0.6253176258342354,-0.5091810786843536,0,0,0,0,0,0,0,0,0,-0.49592260558765894,0,0,-0.6177364524159273,0,-0.011890111003693917,-0.4076039627578522,1.661295161949008,0
