Year,life_expectancy,adult_mortality,alcohol,health_exp_pct_gdp,measles,bmi,gov_health_exp_pct,population,hdi_income,schooling,develop_status,id,log_hiv_aids,log_gdp_per_capita,thinness_avg,vaccination_index,postneonatal_deaths
2015,65.0,263.0,0.01,71.27962362,1154,19.1,8.16,33736494.0,0.479,10.1,0,Afghanistan_2015,0.09531017980432487,6.372054843111785,17.25,45.333333333333336,21
2014,59.9,271.0,0.01,73.52358168,492,18.6,8.18,327582.0,0.476,10.0,0,Afghanistan_2014,0.09531017980432487,6.419500529079097,17.5,60.666666666666664,22
2013,59.9,268.0,0.01,73.21924272,430,18.1,8.13,31731688.0,0.47,9.9,0,Afghanistan_2013,0.09531017980432487,6.450067459449026,17.7,63.333333333333336,23
2012,59.5,272.0,0.01,78.1842153,2787,17.6,8.52,3696958.0,0.463,9.8,0,Afghanistan_2012,0.09531017980432487,6.508708032273233,17.95,67.0,24
2011,59.2,275.0,0.01,7.097108703,3013,17.2,7.87,2978599.0,0.454,9.5,0,Afghanistan_2011,0.09531017980432487,4.16724228207777,18.2,68.0,26
2010,58.8,279.0,0.01,79.67936736,1989,16.7,9.2,2883167.0,0.448,9.2,0,Afghanistan_2010,0.09531017980432487,6.317758265057453,18.4,66.0,28
2009,58.6,281.0,0.01,56.76221682,2861,16.2,9.42,284331.0,0.434,8.9,0,Afghanistan_2009,0.09531017980432487,6.1023198589596435,18.65,63.0,29
2008,58.1,287.0,0.03,25.87392536,1599,15.7,8.33,2729431.0,0.433,8.7,0,Afghanistan_2008,0.09531017980432487,5.925220883173701,18.85,64.0,30
2007,57.5,295.0,0.02,10.91015598,1141,15.2,6.73,26616792.0,0.415,8.4,0,Afghanistan_2007,0.09531017980432487,5.9157593662491115,19.05,63.0,31
2006,57.3,295.0,0.03,17.17151751,1990,14.7,7.43,2589345.0,0.405,8.1,0,Afghanistan_2006,0.09531017980432487,5.611534757389504,19.25,60.0,32
2005,57.3,291.0,0.02,1.388647732,1296,14.2,8.7,257798.0,0.396,7.9,0,Afghanistan_2005,0.09531017980432487,3.26934571655277,19.4,60.666666666666664,33
2004,57.0,293.0,0.02,15.29606643,466,13.8,8.79,24118979.0,0.381,6.8,0,Afghanistan_2004,0.09531017980432487,5.394269852756704,19.6,25.666666666666668,33
2003,56.7,295.0,0.01,11.08905273,798,13.4,8.82,2364851.0,0.373,6.5,0,Afghanistan_2003,0.09531017980432487,5.296959162606505,19.799999999999997,49.0,35
2002,56.2,3.0,0.01,16.88735091,2486,13.0,7.76,21979923.0,0.341,6.2,0,Afghanistan_2002,0.09531017980432487,5.240931603336766,11.049999999999999,45.333333333333336,34
2001,55.3,316.0,0.01,10.5747282,8762,12.6,7.8,2966463.0,0.34,5.9,0,Afghanistan_2001,0.09531017980432487,4.774887475018364,2.25,43.666666666666664,34
2000,54.8,321.0,0.01,10.42496,6532,12.2,8.2,293756.0,0.338,5.5,0,Afghanistan_2000,0.09531017980432487,4.749789875598035,2.4,36.666666666666664,34
2015,77.8,74.0,4.6,364.9752287,0,58.0,6.0,28873.0,0.762,14.2,0,Albania_2015,0.09531017980432487,8.282793484105197,1.25,99.0,0
2014,77.5,8.0,4.51,428.7490668,0,57.2,5.88,288914.0,0.761,14.2,0,Albania_2014,0.09531017980432487,8.428747430626215,1.25,98.0,1
2013,77.2,84.0,4.76,430.8769785,0,56.5,5.66,289592.0,0.759,14.2,0,Albania_2013,0.09531017980432487,8.392926891245157,1.35,99.0,1
2012,76.9,86.0,5.14,412.4433563,9,55.8,5.59,2941.0,0.752,14.2,0,Albania_2012,0.09531017980432487,8.35434818052441,1.35,99.0,1
2011,76.6,88.0,5.37,437.0621,28,55.1,5.71,295195.0,0.738,13.3,0,Albania_2011,0.09531017980432487,8.397999364061072,1.45,99.0,1
2010,76.2,91.0,5.28,41.82275719,10,54.3,5.34,291321.0,0.725,12.5,0,Albania_2010,0.09531017980432487,6.2052824130773905,1.45,99.0,0
2009,76.1,91.0,5.79,348.0559517,0,53.5,5.79,2927519.0,0.721,12.2,0,Albania_2009,0.09531017980432487,8.322427294820676,1.55,98.0,0
2008,75.3,1.0,5.61,36.62206845,0,52.6,5.87,2947314.0,0.713,12.0,0,Albania_2008,0.09531017980432487,6.083450222776355,1.6,99.0,0
2007,75.9,9.0,5.58,32.24655228,22,51.7,6.1,29717.0,0.703,11.6,0,Albania_2007,0.09531017980432487,5.897529758519371,1.65,98.33333333333333,0
2006,74.2,99.0,5.31,3.3021542,68,5.8,5.86,2992547.0,0.696,11.4,0,Albania_2006,0.09531017980432487,3.5871041704908206,1.75,97.33333333333333,0
2005,73.5,15.0,5.16,26.99312143,6,49.9,6.12,311487.0,0.685,10.8,0,Albania_2005,0.09531017980432487,5.635299940781998,1.8,97.66666666666667,0
2004,73.0,17.0,4.54,221.8428,7,48.9,6.38,326939.0,0.681,10.9,0,Albania_2004,0.09531017980432487,7.790525725110208,1.85,98.0,0
2003,72.8,18.0,4.29,14.71928882,8,47.9,6.27,339616.0,0.674,10.7,0,Albania_2003,0.09531017980432487,5.250604795816188,1.95,97.0,0
2002,73.3,15.0,3.73,104.5169157,16,46.9,6.3,3511.0,0.67,10.7,0,Albania_2002,0.09531017980432487,7.282515635372728,2.05,97.33333333333333,0
2001,73.6,14.0,4.25,96.20557078,18,46.0,6.0,36173.0,0.662,10.6,0,Albania_2001,0.09531017980432487,7.19140929218502,2.1,96.66666666666667,0
2000,72.6,11.0,3.66,91.71154052,662,45.0,6.26,38927.0,0.656,10.7,0,Albania_2000,0.09531017980432487,7.070544805715177,2.1500000000000004,96.66666666666667,0
2015,75.6,19.0,0.01,54.2373183,63,59.5,7.21,39871528.0,0.743,14.4,0,Algeria_2015,0.09531017980432487,8.3269433897825,5.9,95.0,3
2014,75.4,11.0,0.01,54.2373183,0,58.4,7.21,39113313.0,0.741,14.4,0,Algeria_2014,0.09531017980432487,6.307828277513971,5.9,95.0,3
2013,75.3,112.0,0.53,544.4507432,25,57.2,7.12,38338562.0,0.737,14.4,0,Algeria_2013,0.09531017980432487,8.607557846977695,5.85,95.0,3
2012,75.1,113.0,0.66,555.9260834,18,56.1,6.14,37565847.0,0.732,14.4,0,Algeria_2012,0.09531017980432487,8.624400619281232,5.85,95.0,3
2011,74.9,116.0,0.56,509.0020405,112,55.0,5.29,36819558.0,0.724,14.0,0,Algeria_2011,0.09531017980432487,8.600293183905098,5.85,95.0,3
2010,74.7,119.0,0.45,430.7175861,103,53.9,5.12,36117637.0,0.714,13.6,0,Algeria_2010,0.09531017980432487,8.403888913011384,5.85,95.0,3
2009,74.4,123.0,0.5,352.0636419,107,52.8,5.36,3546576.0,0.705,13.1,0,Algeria_2009,0.09531017980432487,8.26096617525377,5.95,94.33333333333333,3
2008,74.1,126.0,0.46,43.08717334,217,51.8,4.2,3486715.0,0.697,12.6,0,Algeria_2008,0.09531017980432487,6.207089637494888,5.95,92.0,3
2007,73.8,129.0,0.44,320.3239241,0,5.8,3.82,34376.0,0.69,12.3,0,Algeria_2007,0.09531017980432487,8.277966838134029,5.95,66.33333333333333,3
2006,73.4,132.0,0.36,270.2401962,944,49.8,3.36,33777915.0,0.686,12.3,0,Algeria_2006,0.09531017980432487,8.150646221844118,6.05,66.0,3
2005,72.9,136.0,0.5,2.548922758,2302,48.9,3.24,33288437.0,0.68,12.0,0,Algeria_2005,0.09531017980432487,3.4695529212073555,6.05,86.33333333333333,3
