idhogar,Id,v2a1,hacdor,rooms,hacapo,v14a,refrig,v18q,v18q1,escolari,rez_esc,paredblolad,paredzocalo,paredpreb,pareddes,paredmad,pisomoscer,pisocemento,pisonotiene,pisomadera,techozinc,cielorazo,abastaguadentro,abastaguafuera,abastaguano,public,noelec,coopele,sanitario1,sanitario2,sanitario3,sanitario5,energcocinar2,energcocinar3,energcocinar4,elimbasu1,elimbasu2,elimbasu3,elimbasu5,epared1,epared2,etecho1,etecho2,eviv1,eviv2,dis,female,parentesco1,hogar_nin,hogar_adul,hogar_mayor,hogar_total,edjefe,edjefa,meaneduc,instlevel6,instlevel7,instlevel9,bedrooms,overcrowding,tipovivi1,tipovivi2,tipovivi3,tipovivi4,tipovivi5,computer,television,mobilephone,qmobilephone,lugar1,lugar2,lugar3,lugar4,lugar5,lugar6,area1,age,paga_arriendo,tiene_retraso,ed_jefe_final,sin_jefe_educado,Target
001ff74ca,ID_654683e33,0.0,0,6,0,1,1,1,1.0,8.0,0.0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1.0,1.0,0.0,2.0,0,16,16.0,0,0,0,4,0.5,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,19.0,0,0,16,0,0
003123ec2,ID_99c9bcea5,0.0,0,3,0,1,1,0,0.0,3.25,0.0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,2.0,2.0,0.0,4.0,6,0,6.5,0,0,0,2,2.0,0,0,0,0,1,0,0,1,2,0,0,0,0,1,0,1,12.75,0,0,6,0,1
004616164,ID_fe8c32eba,0.0,0,4,0,1,1,0,0.0,7.0,0.0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1.0,1.0,0.0,2.0,3,0,3.0,0,0,0,3,0.66666669,0,0,0,0,1,0,0,1,2,0,1,0,0,0,0,0,33.0,0,1,3,0,1
004983866,ID_5ad4372cd,0.0,0,5,0,1,1,0,0.0,7.5,2.0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,1.0,1.0,0.0,2.0,0,8,8.0,0,0,0,2,1.0,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0,1,37.5,0,1,8,0,0
006b64543,ID_d2317b09a,0.0,0,4,0,1,1,0,0.0,7.0,0.0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0.0,2.0,0.0,2.0,0,3,7.0,0,0,0,2,1.0,1,0,0,0,0,0,0,1,2,0,0,0,1,0,0,1,43.0,0,0,3,0,0
00941f1f4,ID_e9e72561e,50000.0,0,4,0,1,1,0,0.0,6.25,0.0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0.0,4.0,2.0,4.0,2,0,6.25,0,0,0,2,2.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,61.0,1,0,2,0,1
00e3e05c5,ID_b6b88c2fd,0.0,0,5,0,1,1,0,0.0,5.333333333333333,0.0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1.0,2.0,0.0,3.0,9,0,8.0,0,0,0,2,1.5,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0,1,24.333333333333332,0,0,9,0,0
00e443b00,ID_c7d7b6515,205000.0,0,3,0,1,1,0,0.0,14.0,0.0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0.0,1.0,0.0,1.0,14,0,14.0,0,0,0,2,0.5,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,40.0,1,0,14,0,0
00edc0d0f,ID_a5cb64413,0.0,0,6,0,1,1,0,0.0,9.166666666666666,0.0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2.0,4.0,0.0,6.0,13,0,13.75,0,0,0,3,2.0,1,0,0,0,0,1,1,1,4,1,0,0,0,0,0,1,28.5,0,0,13,0,0
013962b12,ID_262a8d562,0.0,0,4,0,1,1,0,0.0,12.5,0.0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,2.0,0.0,2.0,11,0,12.5,0,0,0,2,1.0,1,0,0,0,0,1,0,1,2,0,0,0,0,0,1,0,30.0,0,0,11,0,0
013e9ee6a,ID_8178e9e3e,0.0,0,6,0,1,1,0,0.0,5.0,0.0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,1,1,0.0,2.0,2.0,2.0,6,0,5.0,0,0,0,4,0.5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,75.0,0,0,6,0,0
01c6fcb6e,ID_aa062266d,0.0,0,3,0,1,1,0,0.0,6.0,0.0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0.0,1.0,1.0,1.0,0,6,6.0,0,0,0,1,1.0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,70.0,0,0,6,0,0
